date,text,year,month,day
2021-06-15 17:14:54,"Ο Περσεβάλ Γκετ, ένας 12χρονος Γάλλος, είναι ένας από τους νεαρότερους πολίτες στην Ευρώπη που εμβολιάζεται κατά της Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,15
2021-06-11 10:41:02,"Μια λέαινα πέθανε από Covid και δύο λιοντάρια βρίσκονταν σε κρίσιμη κατάσταση σε ζωολογικό κήπο της νότιας Ινδίας #kathimerini #καθημερινη
 ",2021,6,11
2021-06-11 07:17:25,G7: Εμβόλια Covid και κλίμα στο επίκεντρο των συζητήσεων #kathimerini #καθημερινη #κορωνοιος  ,2021,6,11
2021-06-09 15:46:34,"Γερμανική έρευνα: Οι ηλικιωμένοι ανταποκρίνονται λιγότερο στα εμβόλια Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,9
2021-06-07 20:55:02,«Το Ευρωπαϊκό Πιστοποιητικό COVID θα χρησιμοποιείται σε όλη την Ευρώπη από την 1η Ιουλίου»   ,2021,6,7
2021-06-06 12:08:37,"Χαλκιδική: Πρόστιμο 3.300 ευρώ σε ιδιοκτήτη καφέ-μπαρ για μη τήρηση των μέτρων Covid #kathimerini #καθημερινη
 ",2021,6,6
2021-06-05 05:25:53,ΗΠΑ: Αεροπορικές πιέζουν για άρση των περιορισμών Covid στις μετακινήσεις #kathimerini #καθημερινη #κορωνοιος  ,2021,6,5
2021-06-02 14:22:51,"Αγρίνιο: Αυξημένο ποσοστό θνητότητας στη ΜΕΘ COVID – Έρευνα για τις όποιες παραλείψεις
  ",2021,6,2
2021-06-02 08:53:58,"Γ. Γεωργαντάς: 81.200 ευρωπαϊκά πιστοποιητικά Covid μέσα σε λίγες ώρες
#καθημερινη #kathimerini  ",2021,6,2
2021-06-01 12:24:20,"CNN: Η Μύκονος είναι έτοιμη για πάρτι όπως στην προ Covid εποχή
#καθημερινη #kathimerini  ",2021,6,1
2021-06-01 08:14:01,"Ισραήλ – Κορωνοϊός: Άρση σχεδόν όλων των μέτρων – Παραμένει κλειστό στους ταξιδιώτες #kathimerini #καθημερινη #κορωνοιος 
 ",2021,6,1
2021-06-01 06:32:05,"Γουχάν: Το Ινστιτούτο Βιολογικών Προϊόντων ενισχύει την ετήσια παραγωγή εμβολίου Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,1
2021-06-01 04:35:58,"Η Ελλάδα εντάσσεται στο πρώτο κύμα των χωρών που ενεργοποιούν το Ευρωπαϊκό Πιστοποιητικό Covid #kathimerini #καθημερινη #κορωνοιος
 ",2021,6,1
2021-05-30 09:06:04,Ενδείξεις για προστατευτική δράση της μεσογειακής διατροφής έναντι της Covid - 19 αναδεικνύει νέα μελέτη με τη συμμετοχή και του Πανεπιστημίου Χάρβαρντ   ,2021,5,30
